"syslogcode","severity","facility"
"0","emergency","kernel"
"1","alert","kernel"
"2","critical","kernel"
"3","error","kernel"
"4","warning","kernel"
"5","notice","kernel"
"6","info","kernel"
"7","debug","kernel"
"8","emergency","user"
"9","alert","user"
"10","critical","user"
"11","error","user"
"12","warning","user"
"13","notice","user"
"14","info","user"
"15","debug","user"
"16","emergency","mail"
"17","alert","mail"
"18","critical","mail"
"19","error","mail"
"20","warning","mail"
"21","notice","mail"
"22","info","mail"
"23","debug","mail"
"24","emergency","system"
"25","alert","system"
"26","critical","system"
"27","error","system"
"28","warning","system"
"29","notice","system"
"30","info","system"
"31","debug","system"
"32","emergency","security"
"33","alert","security"
"34","critical","security"
"35","error","security"
"36","warning","security"
"37","notice","security"
"38","info","security"
"39","debug","security"
"40","emergency","syslog"
"41","alert","syslog"
"42","critical","syslog"
"43","error","syslog"
"44","warning","syslog"
"45","notice","syslog"
"46","info","syslog"
"47","debug","syslog"
"48","emergency","lpd"
"49","alert","lpd"
"50","critical","lpd"
"51","error","lpd"
"52","warning","lpd"
"53","notice","lpd"
"54","info","lpd"
"55","debug","lpd"
"56","emergency","nntp"
"57","alert","nntp"
"58","critical","nntp"
"59","error","nntp"
"60","warning","nntp"
"61","notice","nntp"
"62","info","nntp"
"63","debug","nntp"
"64","emergency","uucp"
"65","alert","uucp"
"66","critical","uucp"
"67","error","uucp"
"68","warning","uucp"
"69","notice","uucp"
"70","info","uucp"
"71","debug","uucp"
"72","emergency","time"
"73","alert","time"
"74","critical","time"
"75","error","time"
"76","warning","time"
"77","notice","time"
"78","info","time"
"79","debug","time"
"80","emergency","security"
"81","alert","security"
"82","critical","security"
"83","error","security"
"84","warning","security"
"85","notice","security"
"86","info","security"
"87","debug","security"
"88","emergency","ftpd"
"89","alert","ftpd"
"90","critical","ftpd"
"91","error","ftpd"
"92","warning","ftpd"
"93","notice","ftpd"
"94","info","ftpd"
"95","debug","ftpd"
"96","emergency","ntpd"
"97","alert","ntpd"
"98","critical","ntpd"
"99","error","ntpd"
"100","warning","ntpd"
"101","notice","ntpd"
"102","info","ntpd"
"103","debug","ntpd"
"104","emergency","logaudit"
"105","alert","logaudit"
"106","critical","logaudit"
"107","error","logaudit"
"108","warning","logaudit"
"109","notice","logaudit"
"110","info","logaudit"
"111","debug","logaudit"
"112","emergency","logalert"
"113","alert","logalert"
"114","critical","logalert"
"115","error","logalert"
"116","warning","logalert"
"117","notice","logalert"
"118","info","logalert"
"119","debug","logalert"
"120","emergency","clock"
"121","alert","clock"
"122","critical","clock"
"123","error","clock"
"124","warning","clock"
"125","notice","clock"
"126","info","clock"
"127","debug","clock"
"128","emergency","local0"
"129","alert","local0"
"130","critical","local0"
"131","error","local0"
"132","warning","local0"
"133","notice","local0"
"134","info","local0"
"135","debug","local0"
"136","emergency","local1"
"137","alert","local1"
"138","critical","local1"
"139","error","local1"
"140","warning","local1"
"141","notice","local1"
"142","info","local1"
"143","debug","local1"
"144","emergency","local2"
"145","alert","local2"
"146","critical","local2"
"147","error","local2"
"148","warning","local2"
"149","notice","local2"
"150","info","local2"
"151","debug","local2"
"152","emergency","local3"
"153","alert","local3"
"154","critical","local3"
"155","error","local3"
"156","warning","local3"
"157","notice","local3"
"158","info","local3"
"159","debug","local3"
"160","emergency","local4"
"161","alert","local4"
"162","critical","local4"
"163","error","local4"
"164","warning","local4"
"165","notice","local4"
"166","info","local4"
"167","debug","local4"
"168","emergency","local5"
"169","alert","local5"
"170","critical","local5"
"171","error","local5"
"172","warning","local5"
"173","notice","local5"
"174","info","local5"
"175","debug","local5"
"176","emergency","local6"
"177","alert","local6"
"178","critical","local6"
"179","error","local6"
"180","warning","local6"
"181","notice","local6"
"182","info","local6"
"183","debug","local6"
"184","emergency","local7"
"185","alert","local7"
"186","critical","local7"
"187","error","local7"
"188","warning","local7"
"189","notice","local7"
"190","info","local7"
"191","debug","local7"
